Instrument;ISIN;WKN;Mnemonic;Ticker
PEARSON PLC        LS-,25;GB0006776081;000858266;PES;PSON.L
RIO TINTO PLC      LS-,10;GB0007188757;000852147;RIO1;RIO.L
BP PLC             DL-,25;GB0007980591;000850517;BPE5;BP.L
LLOYDS BKG GRP     LS-,10;GB0008706128;000871784;LLD;LLOY.L
ASTRAZENECA PLC    DL-,25;GB0009895292;000886455;ZEG;AZN.L
CARNIVAL PLC      DL 1,66;GB0031215220;000120071;POH1;CCL.L
BARCLAYS PLC      LS 0,25;GB0031348658;000850403;BCY;BARC.L
KINGFISHER  LS-,157142857;GB0033195214;000812861;KFI1;KGF.L
ITM POWER PLC      LS-,05;GB00B0130H42;000A0B57L;IJ8;ITM.L
UNILEVER PLC   LS-,031111;GB00B10RZP78;000A0JNE2;UNVB;ULVR.L
WITR COM.SEC.Z06/UN.ALUM;GB00B15KXN58;000A0KRKP;OD7A;GB00B15KXN58.SG
WITR COM.SEC.Z06/UN.COPA;GB00B15KXQ89;000A0KRKR;OD7C;GB00B15KXQ89.SG
WITR COM.SEC.Z06/UND.;GB00B15KXT11;000A0KRKT;OD7E;COTN.L
WITR COM.SEC.Z06/UN.CATL;GB00B15KY096;000A0KRKZ;OD7K;CATL.L
WITR COM.SEC.Z06/UN.NICK;GB00B15KY211;000A0KRK1;OD7M;NICK.L
WITR COM.SEC.Z06/UN.SOYO;GB00B15KY435;000A0KRK3;OD7P;GB00B15KY435.SG
WITR COM.SEC.Z06/UN.SOYB;GB00B15KY542;000A0KRK4;OD7Q;SOYB.L
WITR COM.SEC.Z06/UN.SUGA;GB00B15KY658;000A0KRK5;OD7R;SUGA.L
WITR COM.SEC.Z06/UN.ZINC;GB00B15KY872;000A0KRK7;OD7T;GB00B15KY872.SG
WITR COM.SEC.Z06/UN.IDX;GB00B15KY989;000A0KRK9;OD7V;GB00B15KY989.SG
WT CMDTY INDUS METAL UNL.;GB00B15KYG56;000A0KRLD;OD7Z;AIGI.L
WITR COM.SEC.Z06/UN. IND.;GB00B15KYH63;000A0KRK8;OD7U;AIGA.L
WITR COM.SEC.Z06/UN. IND.;GB00B15KYJ87;000A0KRLH;OD74;AIGS.L
WITR COM.SEC.Z06/UN. IND.;GB00B15KYL00;000A0KRLC;OD7Y;AIGG.L
ANGLO AMERICAN DL-,54945;GB00B1XZS820;000A0MUKL;NGLB;AAL.L
RECKITT BENCK.GRP LS -,10;GB00B24CGK77;000A0M1W6;3RB;RKT.L
RELX PLC      LS -,144397;GB00B2B0DG97;000A0M95J;RDEB;REL.L
ROLLS ROYCE HLDGS LS 0.20;GB00B63H8491;000A1H81L;RRU;RR.L
EASYJET PLC  LS-,27285714;GB00B7KR2P84;000A1JTC1;EJT1;EZJ.L
COMPASS GROUP    LS-,1105;GB00BD6K4575;000A2DR6K;XGR2;CPG.L
NATIONAL GRID PLC;GB00BDR05C01;000A2DQWX;NNGF;NG.L
VODAFONE GROUP PLC;GB00BH4HKS39;000A1XA83;VODI;VOD.L
WITR ISS X ETP O.E.;GB00BJYDH287;000A3GKGK;WBIT;GB00BJYDH287.SG
WITR ISS X ETP O.E.;GB00BJYDH394;000A3GQ45;WETH;GB00BJYDH394.SG
GLOBAL X OPEN END;GB00BLBDZV05;000A3GWV4;BT0X;GB00BLBDZV05.SG
GLOBAL X OPEN END;GB00BLBDZV05;000A3GWV4;BT0Y;GB00BLBDZV05.SG
GLOBAL X OPEN END;GB00BLBDZW12;000A3GWV3;ET0X;
GLOBAL X OPEN END;GB00BLBDZW12;000A3GWV3;ET0Y;
COINSHARES DIG.SEC.OEND;GB00BLD4ZL17;000A3GPMN;BITC;GB00BLD4ZL17.SG
COINSHARES DIG.SEC.OEND;GB00BLD4ZM24;000A3GQ2N;CETH;GB00BLD4ZM24.SG
COINSHARES DIG.SEC.OEND;GB00BLD4ZN31;000A3GRUE;XRRL;GB00BLD4ZN31.SG
COINSHARES DIG.SEC.OEND;GB00BLD4ZP54;000A3GRUD;CLTC;LITE.SW
TESCO PLC     LS-,0633333;GB00BLGZ9862;000A2QQMK;TCO0;TSCO.L
NATWEST GR.PLC LS 1,0769;GB00BM8PJY71;000A3DS0H;RYSD;NWG.L
GLOBAL X OPEN END;GB00BM9JYH62;000A3GZKD;AVMX;GB00BM9JYH62.SG
GLOBAL X OPEN END;GB00BM9JYJ86;000A3GZKF;LI0X;GB00BM9JYJ86.SG
GLOBAL X OPEN END;GB00BM9JYK91;000A3GZKE;UNIX;GB00BM9JYK91.SG
4BASEBIO PLC         EO 1;GB00BMCLYF79;000A3CWA4;88Q;GB00BMCLYF79.SG
WITR ISS X ETP O.E.;GB00BMTP1519;000A3GUPB;ALTC;GB00BMTP1519.SG
WITR ISS X ETP O.E.;GB00BMTP1626;000A3GUPA;WBLC;GB00BMTP1626.SG
WITR ISS X ETP O.E.;GB00BMTP1733;000A3GUN9;WMEG;GB00BMTP1733.SG
COINSHARES DIG.SEC.OEND;GB00BMWB4803;000A3GVCZ;XTZS;GB00BMWB4803.SG
COINSHARES DIG.SEC.OEND;GB00BMWB4803;000A3GVCZ;XTZT;GB00BMWB4803.SG
COINSHARES DIG.SEC.OEND;GB00BMWB4910;000A3GYRF;CCHA;GB00BMWB4910.SG
HALEON PLC       LS 0,01;GB00BMX86B70;000A3DNZQ;H6D0;HLN.L
COINSHARES DIG.SEC.OEND;GB00BMY36D37;000A4A50V;CFTN;GB00BMY36D37.SG
WITR ISS X ETP O.E.;GB00BN474G19;000A4AKVG;WCRP;GB00BN474G19.SG
GSK PLC  LS-,3125;GB00BN7SWP63;000A3DMB5;GS71;GSK.L
WITR ISS X ETP O.E.;GB00BNGJ9G01;000A3GX35;DSOL;GB00BNGJ9G01.SG
WITR ISS X ETP O.E.;GB00BNGJ9H18;000A3GX36;XDOT;GB00BNGJ9H18.SG
WITR ISS X ETP O.E.;GB00BNGJ9J32;000A3GX34;WADA;GB00BNGJ9J32.SG
COINSHARES DIG.SEC.OEND;GB00BNRRB013;000A3GVCY;CPYG;GB00BNRRB013.SG
COINSHARES DIG.SEC.OEND;GB00BNRRF105;000A3GY74;RAND;GB00BNRRF105.SG
COINSHARES DIG.SEC.OEND;GB00BNRRF659;000A3GVCX;CSDA;ADAS.SW
COINSHARES DIG.SEC.OEND;GB00BNRRF980;000A3GY73;COMS;GB00BNRRF980.SG
COINSHARES DIG.SEC.OEND;GB00BNRRFW10;000A3GVC0;CDOT;GB00BNRRFW10.SG
COINSHARES DIG.SEC.OEND;GB00BNRRFW10;000A3GVC0;CDOU;GB00BNRRFW10.SG
COINSHARES DIG.SEC.OEND;GB00BNRRFY34;000A3GXNS;SLNC;SLNC.SW
COINSHARES DIG.SEC.OEND;GB00BNRRG624;000A3GYRG;CIWP;GB00BNRRG624.SG
SHELL PLC           EO-07;GB00BP6MXD84;000A3C99G;R6C0;SHEL.L
VALOUR STOXX BITCOIN SUIS;GB00BPDX1969;000A3G96Z;BCIX;GB00BPDX1969.SG
VALOUR BITCOIN PHYS CARB;GB00BQ991Q22;000A3G5PQ;1VBT;GB00BQ991Q22.SG
VALOUR ETHEREUM PHYS STAK;GB00BRBMZ190;000A3G6BS;1VET;GB00BRBMZ190.SG
VALOUR BITCOIN PHYS STAK;GB00BRBV3124;000A4A52B;1VBS;GB00BRBV3124.SG
VALOUR BITCOIN PHYS STAK;GB00BRBV3124;000A4A52B;1VBW;GB00BRBV3124.SG
WITR ISS X ETP O.E.;GB00BRXHQ425;000A4A53J;WXRP;GB00BRXHQ425.SG
VALOUR COMPUTER PHYS STAK;GB00BS2BDN04;000A3G9SD;1VIC;GB00BS2BDN04.SG
AME-MWSCNZAP DLD;IE000004V778;000ETF145;WGES;WGES.DE
AME-MWSCNZAP DLD;IE000004V778;000ETF145;WGE0;WGES.DE
ISHS3-EU.EQ.EN.A.ETF EOA;IE00000EF730;000A40C73;EUEE;EUEE.DE
JPM-EUROZONE REI EQ A;IE00004PGEY9;000A3DEH3;JREZ;JRZE.L
JPM-JAPAN REI EQ D;IE00005YSIA4;000A3CR8E;JREI;JREI.L
WI.IC.MEGATRENDS DL ACC.;IE0000902GT6;000A3EYCN;WMGT;WMGT.L
ISHS COR B ()EOA;IE0000BH4WF5;000A3DLEH;IEXA;IEXA.DE
JPM-US EQ PR.I.A.ETF A DL;IE0000EAPBT6;000A40FFG;JEIA;IE0000EAPBT6.SG
AIE-G.H.Y.O.E. DLD;IE0000FA5GB7;000A40TUR;AIGT;IE0000FA5GB7.SG
AIE-G.H.Y.O.E. DLD;IE0000FA5GB7;000A40TUR;AIGU;IE0000FA5GB7.SG
INVESCOM-SPCHINA MC 500SW;IE0000FCGYF9;000A3DEGV;C5ME;IE0000FCGYF9.SG
OS.SBCA.USSE.SC 1AEOA;IE0000GXRR13;000A40G0X;EUPD;EUPD.DE
VANECK N CHINA UC.ETF;IE0000H445G8;000A3CR8S;CNIE;CNEW.L
JPM-USD CP BD REI EU HG A;IE0000J0F3C5;000A3C4QK;JRUE;JRUE.DE
BNPPESUSUSETF U.ETFEOA;IE0000LVTJ08;000A40HTF;LM9D;AUSSE.PA
XTR.MSCIUSES 2C HED.EOA;IE0000MMQ5M5;000DBX0RX;XZME;XZME.DE
ISHSVIBD32TEOC EOD;IE0000MR4GH9;000A40MDA;32XG;32XG.DE
IMII-FTSE A.W. DLD;IE0000QLH0G6;000A3D7QY;FTWD;IE0000QLH0G6.SG
IM-I.SP EQWESE DLA;IE0000TZZ2B2;000A40Q9Y;RSPS;SPWS.L
ISHSV IBD28TDLC DLA;IE0000UJ3480;000A3D8E5;CBU5;28ID.PA
JPM-GLOB REI EQ EUR HDG A;IE0000UW95D6;000A3C4Y4;JRGE;JRGE.MI
ISHSV IBD28TDLC DLD;IE0000VITHT2;000A3D8E4;CBU4;IE0000VITHT2.SG
FID2-EO C.BD RE PAB EO A;IE0000VKUF67;000A40CRA;FEIA;FEIA.DE
BNPPSP500ESGETF DLA;IE0000VX9GN7;000A3D572;IN0A;SPEUS.PA
ISHSV-IBO25TDLC ()DLD;IE0000X2DXK3;000A3EHAQ;CEBF;IE0000X2DXK3.SG
GLX-ARTI.INTEL. EOA;IE0000XTDDA8;000A40E7C;QAIU;AIQU.L
AMUNDI MSCI ACWI SRI PAB;IE0000ZVYDH0;000A3DH0C;WELA;WELB.DE
AMUNDI MSCI ACWI SRI PAB;IE0000ZVYDH0;000A3DH0C;WELB;WELB.DE
BNPPESUSUSETF U.ETFDLA;IE000130VPV5;000A40HTB;LM9A;AUSSD.PA
ISHS-MS.ACW.SRI DLD;IE00013A2XD6;000A3DKFM;CBUQ;SAWI.AS
A-MSCI W.ESG LE DLA;IE00016PSX47;000ETF049;MWOP;ESGWO.MI
A-MSCI W.ESG LE DLA;IE00016PSX47;000ETF049;MWOR;ESGWO.MI
IM2SPWFINESGETF DLA;IE00018LB0D8;000A3D3BC;WF1E;WDFE.L
AXIM-EM C.PAB DLA;IE00018U4PN8;000A408NC;AICT;AICT.DE
AXIM-EM C.PAB DLA;IE00018U4PN8;000A408NC;AICU;AICT.DE
JPM-JAPAN REI EQ JPY A;IE0001A541Y3;000A3DQMS;JJEJ;
AM-MSCIWOMIVOSF DLA;IE0001DKJVC2;000ETF216;WMMV;WMMV.DE
AM-MSCIWOMIVOSF DLA;IE0001DKJVC2;000ETF216;WMMX;WMMV.DE
FID2-DL C.BD RE PAB HGEOD;IE0001DM7O60;000A3ERTJ;FUIE;
AM-MSCIWOMOSCFA DLA;IE0001FQFU60;000ETF214;WMSE;WMSE.DE
AM-MSCIWOMOSCFA DLA;IE0001FQFU60;000ETF214;WMSF;WMSE.DE
A.E.I.A.M.W.E EOA;IE0001GSQ2O9;000ETF142;LWCR;LWCR.DE
A.E.I.A.M.W.E EOA;IE0001GSQ2O9;000ETF142;LWCU;LWCR.DE
VANECK CIRC.ECON. ADLA;IE0001J5A2T9;000A3DVNE;REUS;IE0001J5A2T9.SG
JPMETFS(IE)-ACREEQA EOHA;IE0001JABD69;000A40FFB;JRWE;JRWE.DE
XTR.EU NZPPAE1C 1CEOA;IE0001JH5CB4;000DBX0SQ;XEPA;IE0001JH5CB4.SG
KSI-ICBCCS S+P CN500UE;IE0001QF56M0;000A3EWGU;CHIN;IE0001QF56M0.SG
FIRST TR.SMID ADLA;IE0001R850E1;000A407HQ;FTGD;SDVY.L
LG-GK MUL.EQ.E. DLA;IE0001UQQ933;000WELT0A;GERD;GERD.DE
INVESCOM2-GHYCBESG ACC;IE0001VDDL68;000A3DLE5;GB1A;IE0001VDDL68.SG
VA.F-VA.ESG E.A DLD;IE0001VXZTV7;000A3DJRD;V3ML;V3ML.L
INVESCOM2-EUR COR B ESG A;IE00021E4FE3;000A3DE9Q;ECMA;IE00021E4FE3.SG
L+G-M.S.E.C. HGD ETFEOA;IE00022GJEG1;000A3EGUZ;BATJ;IE00022GJEG1.SG
ISIV-D.E.E. DLA;IE00023EZQ82;000A3C5LR;CBUN;PLAY.AS
ISHSV IBD28TEOC EOD;IE000264WWY0;000A3D8E7;IB28;IB28.DE
AM-SP GL.IN.ESG EOD;IE00026BEVM6;000A3DSTF;WELT;WELT.DE
AM-SP GL.IN.ESG EOD;IE00026BEVM6;000A3DSTF;MWOA;WELT.DE
XTR.DL CO.GR.BD 1CHEOA;IE00028H9QJ8;000DBX0KF;XGUE;XGUE.DE
J.H.T.P.E.H.C.E EOA;IE0002A3VE77;000A40JUG;JCEU;JCEU.DE
XT.-S+P500EW 2CHEOA;IE0002EI5AG0;000DBX0P9;XDEE;XDEE.DE
GLX-SP500 CV.CL DLD;IE0002L5QB31;000A3DC8Q;XY7D;IE0002L5QB31.SG
FIDCLEANENERETF DLA;IE0002MXIF34;000A3DNZF;FNRG;IE0002MXIF34.SG
VANECK RARE EARTH UC.ETF;IE0002PG6CA6;000A3CRL9;VVMX;REMX.L
GLXETFS-HYDROG DLA;IE0002RPS3K2;000A3E40P;HYCN;HYGN.L
ISIV-MJEEUETF HGD EOA;IE0002SCQ8X0;000A40JUY;CEB3;CEB3.DE
JPM US REI SRI EQ D;IE0002UMVXQ1;000A3D5KV;JSUD;IE0002UMVXQ1.SG
FID.GL.QU.VA E. DLA;IE0002XFS025;000A40SJT;FGLV;FGLV.DE
XTR.USANZPPAE1C 1CDLA;IE0002ZM3JI1;000DBX0SR;XNUS;IE0002ZM3JI1.SG
X(IE)MSCI GL.S3 1CDLA;IE00036F4K40;000DBX0SM;XDG3;XDG3.L
HSBC G-GSGBI ETFCHEURDLA;IE000389GTC0;000A3EKEM;H41T;IE000389GTC0.SG
ARK AR.I.RO. ETFDLA;IE0003A512E4;000A408AX;AAKI;IE0003A512E4.SG
UBSIETFMUT125EU ADLA;IE0003B4BV34;000A40EWZ;CSYU;IE0003B4BV34.SG
AXA-ACT BIO.EQ. TBCEOA;IE0003IT72N9;000A3DHNQ;ABIE;
JPM GL REI SRI EQ EUR A;IE0003JSNHV9;000A3EGP9;JEGS;IE0003JSNHV9.SG
JPM (IE)-US GR.EQ.A.D.USD;IE0003KQ8JX1;000A3EW6L;JPGD;IE0003KQ8JX1.SG
XT-MSCI W.Q.ESG 1CDLA;IE0003NQ0IY5;000DBX0TV;XWEQ;XWEQ.L
AMC.AV.GLSMCV DLA;IE0003R87OG3;000A40GB9;AVWS;AVWS.DE
JPMETF(IE)-EREIEQSPAUEEOA;IE0003UN5CT1;000A40BWQ;JESE;JSEE.L
JPM EII-G.P.I.A.U.ETF DLD;IE0003UVYC20;000A3EHRE;JGPI;JEPG.L
XTR.DL CO.GR.BD 2CDLA;IE0003W9O921;000DBX0N6;XGBU;IE0003W9O921.SG
FT ICAV-F.FUTH+WELL CLADL;IE0003WEWAX4;000A3EFKW;FOHW;IE0003WEWAX4.SG
AM PR.ALL C.W.E DLA;IE0003XJA0J9;000ETF151;WEBN;WEBN.DE
AM PR.ALL C.W.E DLA;IE0003XJA0J9;000ETF151;WEBQ;WEBN.DE
GLXETFS-CP.MIN. DLA;IE0003Z9E2Y3;000A3C7FZ;4COP;IE0003Z9E2Y3.SG
ISHS TIMBER DLA;IE0003ZXNJY5;000A3C5HP;CEB9;WOOE.AS
JPMEI-EOAGBDAC JPETFEOA;IE00049TNTV6;000A40B8T;JEAA;IE00049TNTV6.SG
A-MSCI W.ESG LE EOA;IE0004CIQ1O4;000ETF159;MWOS;MWOS.DE
BNP-MSCIISRI5PC U.ETFDLA;IE0004HBJKG0;000A40943;ESAB;PAACE.MI
FT-FTSE EM CL-DLA;IE0004I037N4;000A408N2;EMGM;EMGM.DE
BNPPSP500ESGETF EOA;IE0004J37T45;000A3D571;IN0B;SPEEU.PA
XT.-DLEMMABQ 1CDLA;IE0004KLW911;000DBX0R0;XQUD;IE0004KLW911.SG
IS4-IN.INRGO.BD ()DLD;IE0004L9EID2;000A3EQAY;CEB5;INGB.AS
XT-SP500EW S+S UE 1CDLA;IE0004MFRED4;000DBX0S3;XZEW;XZEW.L
IM2-BU.26EOCOBD EOA;IE0004QWOTD5;000A400MF;BSE6;BSE6.DE
AMUNDIMUSAESGLX EOA;IE0004TFW0R5;000ETF174;MWOU;MWOU.DE
LG-ME.ESG EXC. ETFDLA;IE0004U3TX15;000A3DLEK;MTVR;IE0004U3TX15.SG
AMJPMINRINGBETF DLA;IE0004W4ZVJ5;000ETF157;INGE;INGU.DE
AMJPMINRINGBETF DLA;IE0004W4ZVJ5;000ETF157;INGU;INGU.DE
UBSIETFMCDUNUE ACDA;IE0004YRJHW4;000A3E2W8;BCFD;BCFD.DE
XTR.MSCIEUES 1DEOD;IE0004ZJGWT9;000DBX0V7;XZEP;XZEP.DE
IS CO.FTSE 100 U.ETF LSD;IE0005042456;000552752;IUSZ;ISF.L
X(IE)-DJE US EQ.RES.1CDLA;IE00050EGWG5;000DBX0WB;XDJU;XDJU.DE
AM-SP GL.UT.ESG EOD;IE00052T92P8;000A3DSTM;WELQ;WELQ.DE
AM-SP GL.UT.ESG EOD;IE00052T92P8;000A3DSTM;MWOI;WELQ.DE
AXAIM-EO CR.PAB EOD;IE00053HJRU7;000A40LLH;AIDE;AIDE.DE
INVESCOM2-HYDRO ECO;IE00053WDH64;000A3DP7T;HYDE;IE00053WDH64.SG
VANECK S.F.FOOD ETF;IE0005B8WVT6;000A3DP9K;VE6I;VEGI.L
JPM (IE)-US GR.EQ.AC. USD;IE0005CH3U28;000A3EW6K;JPGR;JGRO.L
XTRIE MGSD9III 1CDLA;IE0005E47AH7;000DBX0S9;SDG9;SDG9.L
AMU-RU.1000 GR DLA;IE0005E8B9S4;000ETF201;MWOT;MWOT.DE
AMU-RU.1000 GR DLA;IE0005E8B9S4;000ETF201;MWOV;MWOW.DE
AMU-RU.1000 GR DLA;IE0005E8B9S4;000ETF201;MWOW;MWOW.DE
JPM-GREEN SOC SUST BD A;IE0005FKEK99;000A3DXM8;JGNR;JGRN.L
JPM-GL.REI EQ ETF A EO;IE0005MWBFR7;000A40JGC;JGIE;JGIE.DE
AM-SPGLCOSTESG EOD;IE0005NYD352;000A3DSS7;WELM;WELM.DE
AM-SPGLCOSTESG EOD;IE0005NYD352;000A3DSS7;WEL4;WELM.DE
VEE-BIONIC ENG. 1DLA;IE0005TF96I9;000A3DT2R;CIB0;
HANETF-SPROT.URAN.MNG.DLA;IE0005YK6564;000A3DJZY;U3O8;URNM.L
WT STRA.MET. HGDEOA;IE000611IJM3;000A40V3V;WENH;WENH.DE
AM-SPGLCODIESG EOD;IE00061J0RC6;000A3DSS5;WELC;WELC.DE
AM-SPGLCODIESG EOD;IE00061J0RC6;000A3DSS5;WEL2;WELC.DE
BNPPESUSWLDETF U.ETFDLA;IE000629MKR4;000A40HTD;LM9B;AWDS.SW
ISH4-COP.MINERS DLA;IE00063FT9K6;000A3ECC3;CEBS;COPM.AS
UBSIETFMUSUETF ADLA;IE00063GNWK1;000A40EWX;CSY2;IE00063GNWK1.SG
AXIM-EM C.PAB DLD;IE00066L6LB9;000A40B8Z;AQDT;AQDT.DE
AXIM-EM C.PAB DLD;IE00066L6LB9;000A40B8Z;AQDU;AQDT.DE
JPM US REI SRI EQ A;IE00069JGT58;000A3D5KU;JSUE;JSEU.L
AX.I.U.H.OP.E 100000DLD;IE00069MGEE1;000A40PRN;AIHT;AIHT.DE
AX.I.U.H.OP.E 100000DLD;IE00069MGEE1;000A40PRN;AIHU;AIHT.DE
GS-DL HY BD AC ()DLD;IE0006B9CPY7;000A40UC2;GUHY;GSHY.L
FT-FTSE EMEX CN CL-DLA;IE0006D3PGW3;000A408N4;EXCN;EXCN.DE
XTR.IE)MS.J.T.E 1DDLD;IE0006FDYJF8;000DBX0TJ;XCJD;IE0006FDYJF8.SG
XTRIE-M.INNO. 1CDLA;IE0006FFX5U1;000DBX0R4;XNNV;XNNV.L
AM-SPGLHECAESG EOA;IE0006FM6MI8;000A3DSTC;WELS;WELS.DE
AM-SPGLHECAESG EOA;IE0006FM6MI8;000A3DSTC;WEL9;WELS.DE
XT.EOHYCBSRIPAB 1CEOA;IE0006GNB732;000DBX0SG;XZHE;XZHE.DE
JPM US REI SRI EUR HDG A;IE0006HMLPV6;000A3D5KT;JSHE;IE0006HMLPV6.SG
A.E.I.A.M.U.E EOA;IE0006IP4XZ8;000ETF058;WEB2;USAC.PA
F.I.F.S.E.G.C EOA;IE0006K7DEL9;000A3EUB2;GCOR;GCOR.DE
FID2-GL.HY CBDREPAB EO D;IE0006KNOFD1;000A3D4DG;FFGE;IE0006KNOFD1.SG
INVESCOM2-EUR COR B ESG D;IE0006LBEDV2;000A3DE9S;ECMF;IE0006LBEDV2.SG
JPM GL AGG BOND A;IE0006MM8VN6;000A3EMZ3;JAGA;JAGA.L
B.P.E.I-E.G.E.I DLA;IE0006O3TTP9;000A3EXC9;BJLB;BJLB.DE
FID2-GL.HY CBDREPAB DLD;IE0006OIQXE9;000A3DU9R;FFGH;FGHY.MI
EMU CL.TR.AWARE EOA;IE0006PTRUI8;000A406Q4;MCTA;MCTA.DE
FID2-DL C.BD RE PAB HGEOA;IE0006QCIHM0;000A3DW2T;FSCE;FSME.MI
OS.BB CA PAB NR EOA;IE0006QX3Y11;000A3DP6J;OP8E;OP8E.DE
JPM-GL.EM REI E ETF A EO;IE0006SEWKA2;000A40JGB;JEEM;JEEM.DE
IMII-FTSE A.W. PFHDGEOA;IE0006VDD4K1;000A3EC3H;FWEA;FWEA.MI
XTR.M.W.E.U.E. 1CDLA;IE0006WW1TQ4;000DBX0VH;EXUS;EXUS.DE
XTR.ESGDLHYCOBD 1CDLA;IE0006YM7D84;000DBX0SF;XZHY;XZHY.L
IMII-FTSE A.W. DLA;IE000716YHJ7;000A3D7QX;FWIA;IE000716YHJ7.SG
IM 2-I.C.E.ACC DLA;IE00072RHT03;000A40J96;IVCS;ICBR.L
XTRJPNETZPPAE1C 1CDLA;IE00074JLU02;000DBX0SS;XNJP;IE00074JLU02.SG
H.E.S.J.U.M.E. DLA;IE00075IVKF9;000A401YJ;U8NJ;URNJ.L
GLXETFS-SUPDIV DLD;IE00077FRP95;000A3DEKS;UDIV;SDIV.L
WT GL EFF.CO. EOA;IE00077IIPQ8;000A40NP2;NTSG;NTSG.L
JPM-EUROZONE REI EQ D;IE000783LRG9;000A3DEJU;JRZD;IE000783LRG9.SG
IM2-BU.28EOCOBD EOA;IE00079EUF59;000A400MG;BSE8;BSE8.DE
INVESCOM2-EUR GOV GREEN A;IE0007BT2BH8;000A3D3A5;EGVA;IE0007BT2BH8.SG
LG-LG GL.BR.E. DLA;IE0007HKA9K1;000A3ECMJ;TOPB;LABL.L
VEVMSTUSMOAT ADLA;IE0007I99HX7;000A3ELCY;WMOT;WMOT.DE
JPM(IE)-US EQ.ACT.DLD;IE0007ILCZU4;000A3EYKB;JAUD;JUSD.L
FID.2-SDEMB EFT HGDEOD;IE0007L3IJF6;000A40LYW;FESE;FESE.DE
WI.-GLQUDIGR I SYS.HDGDEO;IE0007M3MLF3;000A3D10A;WGRU;GGRE.MI
HSBC ETF- CHINA DLA;IE0007P4PBU1;000A3DN5H;H4Z6;HCHA.L
BNPPESUSWLDETF U.ETFEOA;IE0007QB4QS2;000A40HTE;LM9C;LM9C.DE
WT STRA.MET. EOA;IE0007UE04X9;000A40NNX;WENU;WENU.L
XTR.SP500 SC.+SCR.UE1CDLA;IE0007ULOZS8;000DBX0S1;XZSP;XZSP.L
ISHSV IBD26TDLC DLD;IE0007UPSEA3;000A3D8E0;CBU8;IE0007UPSEA3.SG
XTR(IE)-MGCWSETF 1CDLA;IE0007WJ6B10;000DBX0SN;XDG6;XDG6.L
ROB3DEUEQ EOA;IE0007WLHX89;000A40K37;3D3D;3D3D.DE
HANETF-EUR.GRE.DEAL E ACC;IE0007WMHDE3;000A3EB32;ASWA;EUGD.L
BNPPEFENGDGC U.ETFEOA;IE0007YP0PL1;000A40VDZ;ESAD;ESAD.DE
OSS-ESG.BA.E.S 1DEOD;IE00080CTQA4;000A3C7KX;5HEU;IE00080CTQA4.SG
HSBC SP I.T.E ()EOA;IE0008119MO8;000A3EVTL;H41X;H41X.DE
JPMETFEOGBAETF JPETFEOD;IE00081SF8K7;000A40MLR;JEEG;JEEG.L
ISHS II-STXX EUR.50 EODIS;IE0008470928;000935926;EUN1;EUN1.DE
AM.MSCIWLDEXUSA DLA;IE00085PWS28;000ETF192;WEXE;WEXU.DE
AM.MSCIWLDEXUSA DLA;IE00085PWS28;000ETF192;WEXU;WEXU.DE
AXA IM USTR0-1Y 100000DLA;IE00087GRUR0;000A40PU0;A01T;A01T.DE
AXA IM USTR0-1Y 100000DLA;IE00087GRUR0;000A40PU0;A01U;A01T.DE
BPEI-MWEFMTE U.ETFDLA;IE0008FB2WZ1;000A3ERFY;ASRW;WEMTE.PA
IM 2-I.DL AAA C EOA;IE0008GO35B5;000A40VVQ;UCLA;ICLU.L
JPMEI-EOAGBDAC JPETFEOD;IE0008QIFH42;000A40B8S;JGGE;IE0008QIFH42.SG
INVESCOM2-WIND ENERGY;IE0008RX29L5;000A3DP7S;WDEY;IE0008RX29L5.SG
INVESCOM2-EUR GOV GREEN D;IE0008SEV3B2;000A3D3A4;EGVD;IE0008SEV3B2.SG
VA.F-ESG.D.A-P DLD;IE0008T6IUX0;000A3DJRB;V3PL;V3PL.L
AMUNDIMUSAESGLX DLD;IE0008TKP6O7;000ETF139;LESU;LESA.DE
AMUNDIMUSAESGLX DLD;IE0008TKP6O7;000ETF139;LESA;LESA.DE
ISHSV IBD28TEOC ()EOA;IE0008UEVOE0;000A3EHAK;IVOA;IVOA.DE
XT-MSCI W.M.V.E 1CDLA;IE0008YN0OY8;000DBX0TW;XWEB;IE0008YN0OY8.SG
INVESCOM2-IQSESG GLE EURD;IE0008YN55P8;000A3DSVS;IQSD;
WSTE.LI.P.E.DLA;IE0008ZGI5C1;000A3C2DX;FLPE;FLPE.L
ISHS GHYCB ETF HGD(EOA;IE00091SR7N7;000A3ETWE;CEBR;IE00091SR7N7.SG
ISHS AGGR HGD(EOD;IE00093SKUY4;000A401SK;CEBX;CEBX.DE
WISDTREBLOCKETF DLA;IE000940RNE6;000A3DJ99;WBKN;WBLK.L
GLXETFS2-CNEVBT DLA;IE00094FRAA6;000A3C5S0;CAUT;IE00094FRAA6.SG
AIENHEOZEQS EOD;IE000979OT00;000A2PEPM;EUAI;EUAI.MU
GLXSP500ABETF DLA;IE0009BM62P2;000A3ECGJ;5PAB;5PAB.DE
AM-PRIME GL.E. DLA;IE0009DRDY20;000ETF210;F50A;F50A.DE
AM-PRIME GL.E. DLA;IE0009DRDY20;000ETF210;F50B;F50A.DE
GS-EOIGCOBDAC ()EOD;IE0009EDBBS3;000A40UC1;GIGE;GIGE.DE
