Instrument;ISIN;WKN;Mnemonic;Ticker
MUL-AMUN ST600 RESOU ETFA;LU1834983550;000LYX01X;LBRE;LBRE.DE
MUF-AM.STXXEO600B.MAT.UEA;LU1834983634;000LYX01Y;LCHM;CHM.PA
MUF-AM.STXX EO600C.ST.UEA;LU1834985845;000LYX02J;LFOD;LU1834985845.SG
MUL-AMUN ST600 HEALT ETFA;LU1834986900;000LYX02K;LHTC;HLT.PA
MUL-AM.ST.EU.600 IND.UEAC;LU1834987890;000LYX02L;LIGS;LIGS.DE
MUL-AMUN ST600 INSU ETF A;LU1834987973;000LYX02M;LIRU;LIRU.DE
MUL-AMUN ST600 ENERG ETFA;LU1834988278;000LYX02P;LOGS;ENRG.PA
MUL-AMUN ST600 TECH ETFA;LU1834988518;000LYX02S;LTUG;TNO.MI
MUL-AMUN ST600 TELEC ETFA;LU1834988609;000LYX02T;LTCM;LU1834988609.SG
MUF-AM.ST.EO600CONS.D.UEA;LU1834988781;000LYX02U;LTVL;LTVL.DE
MUL-AMUN ST600 UTILI ETFA;LU1834988864;000LYX02V;LUTI;UTI.MI
MUL AMUNDI CHINA ETF ACC;LU1841731745;000LYX0YW;L4K3;LCCN.L
OSSIAM-MSCI EMU NR 1C EO;LU1847674733;000A2JN9T;OP2E;
UBSLFS-SUST.DEV.B.B. ADLA;LU1852211215;000A2JQW7;MDBA;MDBUA.SW
UBSLFS-SUST.DEV.B.B.AHEOA;LU1852211991;000A2JQXC;MDBE;
UBSLFS-SUST.DEV.B.B. ADLD;LU1852212965;000A2JQW6;MDBU;
BNPPE-EOCBS PAB UE;LU1859444769;000A2N8AD;ASRI;SRIC.PA
BNPPE.-F.E./N.D.E.QDDEOH;LU1859445063;000A2N7XZ;ZSRL;
AIS-A.MSCI ROB+AI SCR.UEA;LU1861132840;000A2JSC9;GOAI;
AIS-AIME SRIPAB UETFDREOA;LU1861137484;000A2JSDC;MIVB;EUSRI.PA
AIS-AMEMSRIPAB UETFDR DLA;LU1861138961;000A2JSDD;AMEI;EMSRI.PA
XTR.NIKKEI 225 2DEOH;LU1875395870;000DBX0Q9;XDJE;XDJE.DE
MUL AMUN USRINFEX ETF ACC;LU1879532940;000LYX007;UINE;
MUL AMUN INDONE ETF ACC;LU1900065811;000LYX019;LYXI;INDO.PA
MUL-AM.MSCI SE.ESG SC.EOA;LU1900066033;000LYX018;LSMC;CHIP.SW
MUL AMUNDI BRAZIL ETF ACC;LU1900066207;000LYX02B;LBRA;RIO.PA
MUL AMUN EAEUR ER ETF ACC;LU1900066462;000LYX02C;LEER;CEC.PA
MUL AMUN KOREA ETF ACC;LU1900066975;000LYX016;LKOR;KRW.PA
MUL AMUN TURKEY ETF ACC;LU1900067601;000LYX02F;LTUR;TUR.PA
